Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
20170010445,Sant Martí,el Poblenou,Badajoz / Llull                                   ,Monday,December,18,11,Morning,0,1,1,2,2.197178,41.397295
20170010446,Les Corts,les Corts,Marquès de Sentmenat / Vallespir                  ,Monday,December,18,11,Morning,1,0,1,2,2.13373,41.384401000000004
20170010447,Horta-Guinardó,el Guinardó,Lluís Sagnier / Varsòvia                          ,Monday,December,18,11,Morning,1,0,1,2,2.176643,41.424062
20170010448,Sarrià-Sant Gervasi,les Tres Torres,Doctor Roux / Tres Torres                         ,Monday,December,18,14,Afternoon,1,0,1,2,2.1323790000000002,41.395444
20170010449,Eixample,la Nova Esquerra de l'Eixample,Rocafort                                          ,Monday,December,18,9,Morning,1,0,1,2,2.149791,41.381807
20170010450,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,General Mitre                                     ,Monday,December,18,12,Morning,1,0,1,1,2.1353009999999997,41.400695
20170010451,Eixample,l'Antiga Esquerra de l'Eixample,Corts Catalanes / Universitat                     ,Monday,December,18,12,Morning,1,0,1,3,2.163105,41.385546999999995
20170010452,Sant Martí,Provençals del Poblenou,Perú / Selva de Mar                               ,Monday,December,18,13,Morning,1,0,1,2,2.2028939999999997,41.413519
20170010453,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca                              ,Monday,December,18,14,Afternoon,1,0,1,3,2.1251830000000003,41.337876
20170010454,Les Corts,les Corts,Numància / Corts                                  ,Monday,December,18,15,Afternoon,1,0,1,2,2.135191,41.386879
20170010455,Sants-Montjuïc,el Poble-sec,Elkano / Concòrdia                                ,Monday,December,18,16,Afternoon,1,0,1,2,2.160664,41.373954
20170010456,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Balmes                                            ,Monday,December,18,12,Morning,0,0,0,1,2.141053,41.40419
20170010457,Ciutat Vella,la Barceloneta,Litoral / Ramon Trias Fargas                      ,Monday,December,18,12,Morning,1,0,1,2,2.195364,41.386727
20170010458,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Picasso / Pujades                                 ,Monday,December,18,12,Morning,2,0,2,4,2.1824380000000003,41.388166
